,「【必要会場面積／必要人数リスト】アクティビティ＆フード」を参照して作成しております　↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://docs.google.com/spreadsheets/d/1Et1sxFLvO9ufXjWF7n6aq_GvciMup-ikNKT6WOo7ijI/edit?gid=1965560400#gid=1965560400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"【注意】
こちらの各アサイン人数は絶対ではございません。
お客様のご要望や状況によって人数は増減致します。
あくまで目安としてご利用いただければと思います。

こちらに記載しているコンテンツは全てリアルイベントのアサイン人数です。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"【コピペ方法】
下記の部分をコピーしてください！
ペーストする際もしっかりマスに合わせてペーストをお願いします。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D,,,,,,1,,,,D,,,,,,1,,,,D,,,,
,2,,,,MC,,,,,,2,,,,MC,,,,,,2,,,,MC,,,,
,3,,,,OP,,,,,,3,,,,OP,,,,,,3,,,,OP,,,,
,4,,,,FC,3,,,,,4,,,,FC,4,,,,,4,,,,FC,4,,,
,5,,,,FC,3,,,,,5,,,,FC,4,,,,,5,,,,FC,4,,,
,6,,,,FC,3,,,,,6,,,,FC,3,,,,,6,,,,FC,4,,,
,7,,,,,,,,,,7,,,,FC,3,,,,,7,,,,FC,4,,,
,8,,,,,,,,,,8,,,,FC,3,,,,,8,,,,FC,3,,,
,9,,,,,,,,,,9,,,,,,,,,,9,,,,FC,3,,,
,10,,,,,,,,,,10,,,,,,,,,,10,,,,FC,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
燃え盛る本能寺からの脱出,参加人数：～49名　（～9チーム想定）,,,,,,,,,,参加人数：50～99名　（10～17チーム想定）,,,,,,,,,,参加人数：100～150名　（18～24チーム想定）,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D,,,,,,1,,,,D,,,,,,1,,,,D,,,,
,2,,,,MC,,蘭丸,,,,2,,,,MC,,蘭丸,,,,2,,,,MC,,蘭丸,,
,3,,,,MC,,信長,,,,3,,,,MC,,信長,,,,3,,,,MC,,信長,,
,4,,,,OP,,,,,,4,,,,OP,,,,,,4,,,,OP,,,,
,5,,,,FC,,チェッカー,,,,5,,,,FC,,チェッカー,,,,5,,,,FC,,チェッカー,,
,6,,,,FC,5,巡回,,,,6,,,,FC,,チェッカー,,,,6,,,,FC,,チェッカー,,
,7,,,,FC,4,巡回,,,,7,,,,FC,5,巡回,,,,7,,,,FC,,チェッカー,,
,8,,,,,,,,,,8,,,,FC,5,巡回,,,,8,,,,FC,5,巡回,,
,9,,,,,,,,,,9,,,,FC,5,巡回,,,,9,,,,FC,5,巡回,,
,10,,,,,,,,,,10,,,,,,,,,,10,,,,FC,5,巡回,,
,,,,,,,,,,,,,,,,,,,,,11,,,,FC,5,巡回,,
,,,,,,,,,,,,,,,,,,,,,12,,,,FC,4,巡回,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魔法学校からの脱出,参加人数：～49名　（～9チーム想定）,,,,,,,,,,参加人数：50～99名　（10～17チーム想定）,,,,,,,,,,参加人数：100～150名　（18～24チーム想定）,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D,,,,,,1,,,,D,,,,,,1,,,,D,,,,
,2,,,,MC,,学長,,,,2,,,,MC,,学長,,,,2,,,,MC,,学長,,
,3,,,,OP,,,,,,3,,,,OP,,,,,,3,,,,OP,,,,
,4,,,,FC,,チェッカー,,,,4,,,,FC,,チェッカー,,,,4,,,,FC,,チェッカー,,
,5,,,,FC,5,巡回,,,,5,,,,FC,,チェッカー,,,,5,,,,FC,,チェッカー,,
,6,,,,FC,4,巡回,,,,6,,,,FC,5,巡回,,,,6,,,,FC,,チェッカー,,
,7,,,,,,,,,,7,,,,FC,5,巡回,,,,7,,,,FC,4,巡回,,
,8,,,,,,,,,,8,,,,FC,5,巡回,,,,8,,,,FC,4,巡回,,
,9,,,,,,,,,,9,,,,,,,,,,9,,,,FC,4,巡回,,
,10,,,,,,,,,,10,,,,,,,,,,10,,,,FC,4,巡回,,
,,,,,,,,,,,,,,,,,,,,,11,,,,FC,4,巡回,,
,,,,,,,,,,,,,,,,,,,,,12,,,,FC,4,巡回,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
謎めく学校からの脱出,参加人数：～49名　（～9チーム想定）,,,,,,,,,,参加人数：50～99名　（10～17チーム想定）,,,,,,,,,,参加人数：100～150名　（18～24チーム想定）,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D,,,,,,1,,,,D,,,,,,1,,,,D,,,,
,2,,,,MC,,学者,,,,2,,,,MC,,学者,,,,2,,,,MC,,学者,,
,3,,,,OP,,,,,,3,,,,OP,,,,,,3,,,,OP,,,,
,4,,,,FC,,チェッカー,,,,4,,,,FC,,チェッカー,,,,4,,,,FC,,チェッカー,,
,5,,,,FC,,巡回,,,,5,,,,FC,,チェッカー,,,,5,,,,FC,,チェッカー,,
,6,,,,,,,,,,6,,,,FC,,巡回,,,,6,,,,FC,,チェッカー,,
,7,,,,,,,,,,7,,,,FC,,巡回,,,,7,,,,FC,,巡回,,
,8,,,,,,,,,,8,,,,,,,,,,8,,,,FC,,巡回,,
,9,,,,,,,,,,9,,,,,,,,,,9,,,,,,,,
